Order ID,Segment,Payment Mode,Ship Mode,Category,Sub-Category,Quantity,Sales
US-2019-155180,Consumer,Online,Standard Class,Office Supplies,Binders,4,26.336
CA-2019-113656,Consumer,Online,Standard Class,Furniture,Furnishings,7,59.99
US-2019-165505,Corporate,COD,Standard Class,Technology,Accessories,2,99.98
US-2019-165505,Corporate,COD,Standard Class,Office Supplies,Art,6,8.04
US-2019-165505,Corporate,Online,Standard Class,Office Supplies,Storage,13,1564.29
CA-2019-109407,Corporate,COD,Second Class,Office Supplies,Binders,4,31.36
CA-2019-153346,Corporate,COD,First Class,Office Supplies,Art,3,9.21
CA-2019-153346,Corporate,Cards,First Class,Office Supplies,Paper,5,18.0
CA-2019-168046,Corporate,Online,Second Class,Office Supplies,Binders,5,43.12
CA-2019-168046,Corporate,COD,Second Class,Furniture,Tables,3,313.722
CA-2019-168046,Corporate,Online,Second Class,Furniture,Furnishings,1,45.98
CA-2019-168046,Corporate,Online,Second Class,Office Supplies,Storage,7,428.68
CA-2019-146437,Corporate,COD,Second Class,Office Supplies,Art,2,39.68
CA-2019-164483,Consumer,COD,Standard Class,Office Supplies,Binders,2,17.456
CA-2019-153661,Consumer,Online,First Class,Office Supplies,Storage,9,305.01
CA-2019-153661,Consumer,Online,First Class,Office Supplies,Binders,2,50.784
CA-2019-153661,Consumer,Online,First Class,Office Supplies,Labels,9,26.01
US-2019-166660,Consumer,COD,Second Class,Furniture,Chairs,4,435.168
US-2019-166660,Consumer,Online,Second Class,Furniture,Bookcases,1,48.58
CA-2019-114944,Corporate,COD,Standard Class,Office Supplies,Paper,4,156.512
CA-2019-168032,Consumer,Online,Standard Class,Technology,Phones,4,1439.968
CA-2019-168032,Consumer,Cards,Standard Class,Office Supplies,Binders,3,1.728
CA-2019-168032,Consumer,Online,Standard Class,Furniture,Tables,3,626.1
CA-2019-129238,Home Office,Cards,Standard Class,Technology,Phones,1,109.592
CA-2019-129238,Home Office,COD,Standard Class,Office Supplies,Paper,5,56.7
CA-2019-147970,Consumer,Cards,Second Class,Office Supplies,Paper,3,15.552
CA-2019-158043,Corporate,Cards,Second Class,Office Supplies,Envelopes,2,23.36
CA-2019-159891,Home Office,Online,Standard Class,Office Supplies,Binders,1,1270.99
CA-2019-159891,Home Office,Cards,Standard Class,Office Supplies,Envelopes,8,125.36
US-2019-140809,Corporate,COD,First Class,Office Supplies,Storage,5,56.45
CA-2019-154067,Corporate,Online,Standard Class,Office Supplies,Paper,4,1105.52
CA-2019-147431,Consumer,COD,Standard Class,Office Supplies,Storage,2,117.96
CA-2019-158841,Consumer,COD,Second Class,Technology,Machines,5,4749.95
CA-2019-158841,Consumer,COD,Second Class,Office Supplies,Binders,8,36.4
CA-2019-158841,Consumer,Online,Second Class,Furniture,Furnishings,7,18.69
CA-2019-144645,Corporate,COD,Standard Class,Furniture,Furnishings,2,73.784
CA-2019-118514,Consumer,COD,Standard Class,Furniture,Chairs,4,866.4
CA-2019-117912,Consumer,COD,Standard Class,Furniture,Furnishings,2,14.368
CA-2019-150077,Consumer,COD,Standard Class,Technology,Phones,2,90.48
CA-2019-101189,Corporate,COD,Standard Class,Office Supplies,Storage,2,93.02
US-2019-108504,Home Office,COD,Same Day,Office Supplies,Storage,1,80.98
US-2019-108504,Home Office,Online,Same Day,Office Supplies,Paper,9,348.84
US-2019-108504,Home Office,Online,Same Day,Office Supplies,Fasteners,5,9.45
US-2019-108504,Home Office,Online,Same Day,Furniture,Furnishings,3,18.84
US-2019-108504,Home Office,COD,Same Day,Furniture,Bookcases,2,239.98
US-2019-108504,Home Office,COD,Same Day,Office Supplies,Envelopes,2,167.96
US-2019-108504,Home Office,COD,Same Day,Technology,Phones,3,104.85
US-2019-108504,Home Office,COD,Same Day,Technology,Phones,3,484.83
US-2019-108504,Home Office,Online,Same Day,Office Supplies,Paper,3,122.97
US-2019-108504,Home Office,COD,Same Day,Office Supplies,Storage,3,154.44
US-2019-108504,Home Office,COD,Same Day,Office Supplies,Paper,7,342.37
CA-2019-100993,Consumer,COD,Standard Class,Office Supplies,Labels,3,14.73
CA-2019-100993,Consumer,Online,Standard Class,Office Supplies,Storage,3,186.54
CA-2019-100993,Consumer,COD,Standard Class,Furniture,Tables,4,557.728
CA-2019-100993,Consumer,COD,Standard Class,Technology,Phones,4,159.968
CA-2019-125017,Corporate,COD,Standard Class,Furniture,Furnishings,4,132.224
CA-2019-106894,Consumer,COD,Same Day,Technology,Accessories,4,100.0
CA-2019-106894,Consumer,COD,Same Day,Office Supplies,Labels,3,7.83
CA-2019-161662,Consumer,Online,First Class,Office Supplies,Paper,2,30.352
CA-2019-135461,Corporate,COD,Second Class,Technology,Phones,5,623.96
CA-2019-109344,Home Office,COD,Second Class,Technology,Phones,3,1127.976
CA-2019-163048,Corporate,COD,Standard Class,Furniture,Chairs,4,241.5
US-2019-112396,Corporate,COD,Standard Class,Technology,Accessories,3,89.97
US-2019-112396,Corporate,COD,Standard Class,Technology,Accessories,2,31.86
CA-2019-164938,Corporate,Online,First Class,Technology,Phones,7,69.93
CA-2019-110492,Consumer,Online,First Class,Office Supplies,Storage,6,1350.12
CA-2019-110492,Consumer,COD,First Class,Office Supplies,Binders,4,15.92
CA-2019-112942,Home Office,Online,Standard Class,Office Supplies,Paper,3,146.82
CA-2019-134334,Consumer,COD,First Class,Office Supplies,Paper,1,4.77
CA-2019-134334,Consumer,COD,First Class,Office Supplies,Art,3,7.98
CA-2019-134334,Consumer,Online,First Class,Furniture,Tables,3,550.431
CA-2019-134334,Consumer,Online,First Class,Furniture,Furnishings,6,10.56
CA-2019-146150,Consumer,COD,Standard Class,Office Supplies,Art,7,264.18
US-2019-162859,Consumer,COD,Standard Class,Office Supplies,Binders,3,398.352
US-2019-162859,Consumer,Online,Standard Class,Office Supplies,Fasteners,4,8.72
CA-2019-168956,Corporate,Online,Standard Class,Office Supplies,Appliances,6,92.064
CA-2019-168956,Corporate,Online,Standard Class,Office Supplies,Fasteners,4,6.976
CA-2019-168956,Corporate,Online,Standard Class,Furniture,Chairs,3,62.958
CA-2019-168956,Corporate,Online,Standard Class,Office Supplies,Paper,1,5.184
CA-2019-134138,Consumer,Online,Standard Class,Furniture,Chairs,2,227.96
CA-2019-108105,Consumer,COD,Standard Class,Furniture,Furnishings,4,318.08
CA-2019-108105,Consumer,COD,Standard Class,Office Supplies,Binders,1,5.8
CA-2019-105781,Consumer,Online,Standard Class,Furniture,Chairs,3,326.646
CA-2019-105781,Consumer,Online,Standard Class,Technology,Accessories,3,89.97
CA-2019-123274,Consumer,COD,Standard Class,Furniture,Furnishings,2,44.46
CA-2019-123274,Consumer,COD,Standard Class,Office Supplies,Storage,3,242.94
CA-2019-101630,Corporate,Online,Second Class,Office Supplies,Labels,3,8.67
CA-2019-101630,Corporate,COD,Second Class,Office Supplies,Supplies,3,25.71
CA-2019-106460,Consumer,COD,Second Class,Office Supplies,Paper,2,70.88
CA-2019-166485,Consumer,COD,Standard Class,Office Supplies,Paper,2,16.496
CA-2019-139010,Corporate,COD,Second Class,Technology,Accessories,1,12.99
CA-2019-139010,Corporate,Online,Second Class,Office Supplies,Binders,4,18.56
CA-2019-139010,Corporate,COD,Second Class,Office Supplies,Storage,5,449.15
CA-2019-139010,Corporate,COD,Second Class,Office Supplies,Binders,7,31.248
US-2019-168410,Corporate,COD,Standard Class,Furniture,Furnishings,5,68.95
US-2019-168410,Corporate,COD,Standard Class,Office Supplies,Storage,3,296.37
US-2019-168410,Corporate,COD,Standard Class,Technology,Phones,2,39.98
US-2019-139262,Home Office,COD,Standard Class,Office Supplies,Binders,3,3.762
US-2019-139262,Home Office,Online,Standard Class,Office Supplies,Binders,2,34.86
US-2019-139262,Home Office,COD,Standard Class,Office Supplies,Storage,3,432.456
CA-2019-121447,Corporate,COD,First Class,Furniture,Furnishings,7,135.8
CA-2019-119025,Home Office,Online,Standard Class,Office Supplies,Appliances,9,490.32
US-2019-143280,Consumer,COD,Standard Class,Technology,Phones,5,445.96
US-2019-143280,Consumer,COD,Standard Class,Technology,Accessories,1,36.24
US-2019-143280,Consumer,COD,Standard Class,Office Supplies,Fasteners,3,10.65
CA-2019-144400,Corporate,COD,Standard Class,Office Supplies,Envelopes,3,57.576
CA-2019-165015,Consumer,Online,Second Class,Office Supplies,Envelopes,5,46.72
CA-2019-102456,Consumer,COD,First Class,Office Supplies,Appliances,3,170.88
CA-2019-101448,Consumer,Online,Second Class,Office Supplies,Binders,3,56.82
CA-2019-128706,Consumer,Online,Standard Class,Furniture,Furnishings,2,16.192
CA-2019-111283,Consumer,COD,Standard Class,Office Supplies,Art,7,111.104
CA-2019-101623,Corporate,Online,Standard Class,Office Supplies,Fasteners,6,36.48
US-2019-143819,Consumer,COD,Standard Class,Furniture,Tables,8,836.592
US-2019-143819,Consumer,COD,Standard Class,Office Supplies,Paper,1,26.38
US-2019-143819,Consumer,COD,Standard Class,Office Supplies,Storage,2,362.92
US-2019-143819,Consumer,COD,Standard Class,Technology,Machines,7,4899.93
US-2019-151862,Corporate,COD,Standard Class,Technology,Phones,2,159.984
CA-2019-112123,Consumer,COD,Standard Class,Office Supplies,Binders,7,447.86
CA-2019-112123,Consumer,COD,Standard Class,Technology,Phones,5,479.95
CA-2019-112123,Consumer,COD,Standard Class,Office Supplies,Paper,3,166.44
CA-2019-116799,Corporate,COD,First Class,Office Supplies,Paper,7,42.784
CA-2019-116799,Corporate,COD,First Class,Furniture,Chairs,5,563.43
CA-2019-167759,Consumer,COD,Second Class,Technology,Phones,3,134.85
CA-2019-145730,Consumer,Online,Standard Class,Furniture,Tables,3,637.896
CA-2019-145730,Consumer,COD,Standard Class,Technology,Machines,3,287.91
CA-2019-145730,Consumer,COD,Standard Class,Office Supplies,Envelopes,3,36.6
CA-2019-120005,Corporate,COD,Same Day,Office Supplies,Supplies,3,25.35
CA-2019-120005,Corporate,Online,Same Day,Furniture,Furnishings,3,35.28
CA-2019-103982,Consumer,Online,Standard Class,Office Supplies,Supplies,3,3930.072
CA-2019-103982,Consumer,Online,Standard Class,Office Supplies,Fasteners,1,2.304
CA-2019-103982,Consumer,COD,Standard Class,Technology,Phones,3,431.976
CA-2019-103982,Consumer,Cards,Standard Class,Technology,Accessories,7,41.72
CA-2019-154053,Home Office,Online,Standard Class,Office Supplies,Art,1,16.99
CA-2019-122518,Corporate,Cards,Second Class,Office Supplies,Labels,4,10.08
CA-2019-164637,Consumer,COD,Standard Class,Office Supplies,Binders,3,128.4
CA-2019-158358,Corporate,Online,Standard Class,Technology,Accessories,2,159.98
CA-2019-165218,Corporate,COD,Standard Class,Office Supplies,Envelopes,3,149.352
CA-2019-165218,Corporate,COD,Standard Class,Office Supplies,Storage,1,12.992
US-2019-155173,Home Office,Online,Standard Class,Technology,Phones,2,431.94
US-2019-155173,Home Office,COD,Standard Class,Office Supplies,Binders,1,2.043
US-2019-155173,Home Office,Cards,Standard Class,Technology,Phones,3,68.238
CA-2019-110898,Consumer,Cards,Standard Class,Office Supplies,Appliances,3,2.334
CA-2019-110898,Consumer,COD,Standard Class,Office Supplies,Binders,4,1.728
CA-2019-110898,Consumer,Online,Standard Class,Furniture,Furnishings,5,159.04
CA-2019-110898,Consumer,COD,Standard Class,Furniture,Tables,2,145.98
US-2019-137547,Corporate,COD,Standard Class,Technology,Phones,3,21.072
CA-2019-169103,Consumer,Cards,Standard Class,Technology,Phones,5,1363.96
CA-2019-169103,Consumer,Cards,Standard Class,Furniture,Furnishings,3,102.36
CA-2019-106306,Consumer,Cards,Same Day,Office Supplies,Binders,3,9.702
CA-2019-111976,Consumer,COD,Standard Class,Technology,Phones,4,108.576
CA-2019-111976,Consumer,Cards,Standard Class,Office Supplies,Fasteners,2,5.984
CA-2019-137337,Consumer,Cards,Standard Class,Furniture,Furnishings,8,113.6
CA-2019-137337,Consumer,Cards,Standard Class,Office Supplies,Paper,2,12.96
CA-2019-137337,Consumer,Cards,Standard Class,Office Supplies,Binders,2,69.456
CA-2019-130400,Home Office,Cards,Standard Class,Office Supplies,Binders,9,8.856
CA-2019-130400,Home Office,Cards,Standard Class,Technology,Accessories,5,27.96
CA-2019-130400,Home Office,Cards,Standard Class,Office Supplies,Envelopes,3,146.352
US-2019-140172,Corporate,COD,Standard Class,Office Supplies,Appliances,3,207.144
US-2019-140172,Corporate,Online,Standard Class,Office Supplies,Art,5,13.9
CA-2019-120803,Home Office,COD,Standard Class,Technology,Accessories,5,199.75
CA-2019-153269,Consumer,COD,First Class,Office Supplies,Storage,1,11.21
CA-2019-153269,Consumer,Online,First Class,Furniture,Chairs,5,354.9
CA-2019-153269,Consumer,Cards,First Class,Office Supplies,Paper,3,17.94
CA-2019-153269,Consumer,Online,First Class,Office Supplies,Binders,4,51.8
US-2019-112977,Consumer,Cards,Standard Class,Furniture,Bookcases,1,176.784
US-2019-122182,Consumer,Online,Standard Class,Technology,Accessories,1,39.992
CA-2019-159016,Home Office,COD,First Class,Office Supplies,Paper,5,14.9
CA-2019-159016,Home Office,Cards,First Class,Technology,Phones,8,4158.912
CA-2019-169663,Home Office,Online,First Class,Technology,Accessories,3,26.85
CA-2019-169663,Home Office,COD,First Class,Technology,Machines,3,3357.6
CA-2019-108959,Corporate,COD,Second Class,Office Supplies,Storage,1,104.696
CA-2019-118255,Corporate,COD,First Class,Technology,Accessories,2,45.98
CA-2019-118255,Corporate,Online,First Class,Office Supplies,Binders,2,17.46
US-2019-128902,Consumer,Cards,Standard Class,Furniture,Tables,2,244.006
CA-2019-146171,Home Office,Online,Standard Class,Furniture,Furnishings,4,76.92
CA-2019-146171,Home Office,Online,Standard Class,Office Supplies,Storage,4,481.32
CA-2019-122511,Home Office,Cards,Same Day,Furniture,Furnishings,4,30.336
CA-2019-115504,Corporate,Online,Standard Class,Office Supplies,Paper,2,12.96
CA-2019-119683,Consumer,COD,Second Class,Office Supplies,Envelopes,3,29.34
CA-2019-127138,Corporate,COD,Second Class,Office Supplies,Storage,5,676.55
CA-2019-127138,Corporate,Cards,Second Class,Office Supplies,Appliances,5,154.9
CA-2019-127138,Corporate,Cards,Second Class,Office Supplies,Envelopes,4,30.56
CA-2019-127138,Corporate,Online,Second Class,Furniture,Chairs,3,770.352
US-2019-119270,Consumer,Online,Standard Class,Office Supplies,Paper,2,19.98
CA-2019-158834,Home Office,Cards,First Class,Office Supplies,Appliances,5,157.92
CA-2019-158834,Home Office,Cards,First Class,Technology,Phones,2,203.184
CA-2019-159373,Consumer,COD,Standard Class,Office Supplies,Paper,5,70.08
CA-2019-159373,Consumer,COD,Standard Class,Office Supplies,Binders,2,1.272
CA-2019-159373,Consumer,Online,Standard Class,Furniture,Tables,5,557.585
US-2019-108637,Home Office,Cards,Standard Class,Furniture,Furnishings,2,127.88
US-2019-108637,Home Office,COD,Standard Class,Office Supplies,Appliances,2,160.32
US-2019-108637,Home Office,Online,Standard Class,Office Supplies,Binders,4,46.0
CA-2019-136301,Corporate,COD,Second Class,Furniture,Furnishings,2,28.28
CA-2019-136301,Corporate,Cards,Second Class,Office Supplies,Supplies,3,4912.59
US-2019-114013,Corporate,COD,Second Class,Furniture,Chairs,2,386.68
US-2019-114013,Corporate,Online,Second Class,Technology,Accessories,5,379.96
US-2019-114013,Corporate,Cards,Second Class,Technology,Phones,3,539.91
US-2019-114013,Corporate,Cards,Second Class,Office Supplies,Paper,5,41.24
US-2019-114013,Corporate,COD,Second Class,Office Supplies,Binders,1,51.897
US-2019-114013,Corporate,COD,Second Class,Office Supplies,Storage,5,552.56
US-2019-114013,Corporate,Cards,Second Class,Office Supplies,Binders,5,23.16
US-2019-114013,Corporate,Cards,Second Class,Office Supplies,Storage,2,126.08
US-2019-114013,Corporate,Cards,Second Class,Technology,Machines,3,449.1
CA-2019-119123,Home Office,Cards,Standard Class,Office Supplies,Binders,7,51.184
US-2019-154361,Consumer,Cards,Standard Class,Furniture,Furnishings,5,21.88
CA-2019-162082,Consumer,COD,First Class,Furniture,Bookcases,5,241.332
CA-2019-162082,Consumer,COD,First Class,Office Supplies,Paper,1,5.184
CA-2019-162082,Consumer,Cards,First Class,Office Supplies,Art,7,145.544
CA-2019-124793,Corporate,COD,First Class,Furniture,Chairs,2,196.784
CA-2019-133802,Corporate,COD,Standard Class,Office Supplies,Binders,6,41.904
CA-2019-102134,Corporate,COD,Standard Class,Furniture,Furnishings,2,16.74
US-2019-113509,Home Office,Online,Standard Class,Technology,Accessories,3,83.976
CA-2019-138968,Corporate,Online,First Class,Office Supplies,Binders,2,4.544
CA-2019-138968,Corporate,Online,First Class,Furniture,Chairs,4,1352.032
CA-2019-140571,Home Office,Online,Standard Class,Office Supplies,Paper,14,319.76
CA-2019-140571,Home Office,Online,Standard Class,Office Supplies,Paper,2,45.68
CA-2019-149272,Corporate,Cards,Standard Class,Furniture,Chairs,5,528.43
CA-2019-149272,Corporate,Cards,Standard Class,Office Supplies,Binders,7,22.386
CA-2019-128111,Consumer,Online,Standard Class,Office Supplies,Art,2,39.68
CA-2019-115476,Consumer,COD,Same Day,Technology,Phones,2,129.98
CA-2019-115476,Consumer,Online,Same Day,Office Supplies,Binders,2,32.54
CA-2019-131737,Consumer,COD,Same Day,Office Supplies,Envelopes,5,199.9
CA-2019-131737,Consumer,Online,Same Day,Office Supplies,Appliances,3,901.95
CA-2019-131737,Consumer,COD,Same Day,Furniture,Furnishings,5,971.5
CA-2019-134544,Consumer,COD,Second Class,Technology,Phones,2,84.784
US-2019-120929,Consumer,COD,Second Class,Furniture,Tables,3,189.882
CA-2019-113292,Consumer,Online,Second Class,Office Supplies,Appliances,3,871.8
CA-2019-106383,Consumer,Cards,Second Class,Furniture,Bookcases,1,72.294
CA-2019-136371,Consumer,Online,Second Class,Furniture,Furnishings,1,14.98
CA-2019-136371,Consumer,Online,Second Class,Furniture,Furnishings,4,20.32
CA-2019-118178,Corporate,COD,Standard Class,Office Supplies,Binders,3,31.086
US-2019-156986,Consumer,Online,Standard Class,Technology,Phones,2,84.784
US-2019-156986,Consumer,Cards,Standard Class,Office Supplies,Paper,4,20.736
US-2019-156986,Consumer,Online,Standard Class,Office Supplies,Binders,3,16.821
US-2019-156986,Consumer,Cards,Standard Class,Office Supplies,Paper,2,10.368
CA-2019-150889,Consumer,COD,Second Class,Technology,Phones,1,11.992
CA-2019-127670,Home Office,Online,Standard Class,Furniture,Tables,4,697.16
CA-2019-162747,Corporate,COD,Second Class,Furniture,Furnishings,7,86.45
US-2019-133879,Consumer,Cards,Standard Class,Office Supplies,Binders,2,3.168
US-2019-133879,Consumer,Cards,Standard Class,Furniture,Chairs,5,528.43
US-2019-133879,Consumer,COD,Standard Class,Office Supplies,Art,3,13.392
CA-2019-163153,Corporate,COD,Standard Class,Furniture,Tables,2,99.372
CA-2019-163153,Corporate,COD,Standard Class,Office Supplies,Art,1,1.344
CA-2019-107615,Corporate,COD,First Class,Technology,Accessories,2,58.58
CA-2019-118899,Consumer,Online,Same Day,Furniture,Chairs,7,167.888
US-2019-164189,Corporate,COD,Standard Class,Technology,Phones,4,403.168
CA-2019-113803,Corporate,Cards,First Class,Office Supplies,Paper,1,22.48
CA-2019-130911,Consumer,COD,Second Class,Furniture,Bookcases,3,301.47
CA-2019-130911,Consumer,Cards,Second Class,Office Supplies,Art,2,18.656
CA-2019-134887,Consumer,Cards,Same Day,Technology,Accessories,5,1287.45
CA-2019-120082,Corporate,Online,Second Class,Office Supplies,Art,3,59.52
CA-2019-123666,Corporate,COD,Standard Class,Office Supplies,Storage,5,459.95
US-2019-162677,Consumer,COD,First Class,Office Supplies,Storage,5,67.64
US-2019-162677,Consumer,COD,First Class,Technology,Accessories,3,119.976
CA-2019-161361,Consumer,Online,Second Class,Office Supplies,Paper,3,17.64
CA-2019-161361,Consumer,COD,Second Class,Office Supplies,Binders,3,17.04
CA-2019-119074,Corporate,Online,Standard Class,Furniture,Furnishings,1,20.24
CA-2019-119074,Corporate,COD,Standard Class,Furniture,Furnishings,4,39.92
CA-2019-119074,Corporate,COD,Standard Class,Office Supplies,Binders,2,32.54
CA-2019-162901,Corporate,COD,First Class,Office Supplies,Storage,2,31.4
CA-2019-131380,Consumer,COD,Second Class,Office Supplies,Storage,4,87.92
CA-2019-131380,Consumer,COD,Second Class,Office Supplies,Paper,1,5.98
CA-2019-152555,Home Office,COD,Second Class,Office Supplies,Paper,3,45.528
CA-2019-152555,Home Office,Online,Second Class,Furniture,Chairs,6,844.116
CA-2019-152555,Home Office,COD,Second Class,Technology,Phones,8,812.736
CA-2019-167556,Consumer,COD,Standard Class,Office Supplies,Paper,2,13.48
CA-2019-167556,Consumer,COD,Standard Class,Office Supplies,Binders,5,29.8
CA-2019-167556,Consumer,COD,Standard Class,Furniture,Furnishings,8,414.0
CA-2019-167556,Consumer,COD,Standard Class,Office Supplies,Binders,7,41.328
CA-2019-127236,Consumer,Online,Standard Class,Furniture,Bookcases,5,299.975
CA-2019-127236,Consumer,COD,Standard Class,Technology,Phones,4,158.376
CA-2019-128258,Corporate,COD,First Class,Office Supplies,Paper,1,11.34
US-2019-151827,Consumer,Online,Second Class,Technology,Phones,3,280.782
US-2019-151827,Consumer,COD,Second Class,Technology,Accessories,2,31.984
CA-2019-124100,Consumer,COD,Standard Class,Furniture,Chairs,6,327.996
CA-2019-166674,Consumer,COD,Second Class,Office Supplies,Art,3,59.52
CA-2019-166674,Consumer,COD,Second Class,Office Supplies,Storage,3,161.94
CA-2019-166674,Consumer,COD,Second Class,Office Supplies,Art,6,263.88
CA-2019-166674,Consumer,COD,Second Class,Office Supplies,Art,3,30.48
CA-2019-166674,Consumer,COD,Second Class,Office Supplies,Art,3,9.84
CA-2019-166674,Consumer,Online,Second Class,Technology,Phones,4,35.12
CA-2019-103947,Corporate,Online,Standard Class,Office Supplies,Fasteners,5,31.56
CA-2019-103947,Corporate,Online,Standard Class,Office Supplies,Appliances,2,30.144
CA-2019-149902,Consumer,Online,Standard Class,Office Supplies,Art,4,88.04
CA-2019-161473,Corporate,COD,Standard Class,Office Supplies,Labels,2,20.7
CA-2019-161473,Corporate,COD,Standard Class,Office Supplies,Supplies,3,10.95
CA-2019-161473,Corporate,COD,Standard Class,Office Supplies,Binders,3,14.352
CA-2019-111213,Consumer,COD,Standard Class,Furniture,Chairs,6,1317.492
CA-2019-111213,Consumer,COD,Standard Class,Office Supplies,Supplies,8,63.84
CA-2019-111213,Consumer,COD,Standard Class,Office Supplies,Binders,1,3.592
CA-2019-127985,Home Office,COD,Second Class,Furniture,Furnishings,4,7.04
US-2019-160206,Corporate,Online,Standard Class,Technology,Phones,1,12.99
CA-2019-123540,Corporate,COD,Second Class,Furniture,Chairs,5,1454.9
CA-2019-120796,Consumer,COD,Standard Class,Office Supplies,Binders,9,99.846
CA-2019-167682,Consumer,Online,Standard Class,Furniture,Furnishings,4,71.12
CA-2019-167682,Consumer,COD,Standard Class,Technology,Phones,4,259.96
CA-2019-162222,Home Office,COD,Same Day,Office Supplies,Paper,3,10.272
